specific heat capacity (J/gK),shap,lowess specific heat capacity (J/gK),lowess shap
0.47,-0.0057351840659976006,0.46,-0.0004903134242462428
0.5,0.004578514955937862,0.46,-0.0004903134242462428
1.05,-0.04664599150419235,0.46,-0.0004903134242462428
0.47,0.0036495192907750607,0.46,-0.0004903134242462428
0.7148,-0.0012446250766515732,0.46,-0.0004903134242462428
0.41,0.00914962962269783,0.46,-0.0004903134242462428
0.422,0.0021640309132635593,0.46,-0.0004903134242462428
0.461,-0.009786292910575867,0.46,-0.0004903134242462428
0.43,-0.0044474974274635315,0.461,-0.0005398006339514224
0.5263,-0.010264272801578045,0.461,-0.0005398006339514224
0.377,-0.012159773148596287,0.461,-0.0005398006339514224
0.88414745,-0.0036423488054424524,0.461,-0.0005398006339514224
1.0,0.02638421580195427,0.461,-0.0005398006339514224
0.896,-0.014841523952782154,0.461,-0.0005398006339514224
0.134,-0.005562960170209408,0.461,-0.0005398006339514224
0.63619,-0.0015729409642517567,0.461,-0.0005398006339514224
0.5,-0.0031029051169753075,0.461,-0.0005398006339514224
0.88414745,0.005228037014603615,0.461,-0.0005398006339514224
0.461,-0.005621138960123062,0.461,-0.0005398006339514224
0.963,0.017701411619782448,0.461,-0.0005398006339514224
0.385,0.0026844509411603212,0.461,-0.0005398006339514224
0.481,5.7979486882686615e-05,0.461,-0.0005398006339514224
0.88414745,-0.007677815854549408,0.461,-0.0005398006339514224
0.5263,-0.004591069649904966,0.461,-0.0005398006339514224
0.5263,-0.004552806261926889,0.461,-0.0005398006339514224
0.5,-0.010393207892775536,0.461,-0.0005398006339514224
0.41,0.0019144779071211815,0.461,-0.0005398006339514224
0.41,0.005236453376710415,0.461,-0.0005398006339514224
0.896,-0.015136925503611565,0.461,-0.0005398006339514224
0.5,0.0006099692545831203,0.461,-0.0005398006339514224
0.435,-0.007052062079310417,0.461,-0.0005398006339514224
0.89,-0.004506271332502365,0.461,-0.0005398006339514224
0.48,0.0006076461868360639,0.461,-0.0005398006339514224
0.461,-0.0024958429858088493,0.461,-0.0005398006339514224
0.48,0.002921496517956257,0.461,-0.0005398006339514224
0.88414745,-0.0037073311395943165,0.461,-0.0005398006339514224
0.38,-0.005051520187407732,0.461,-0.0005398006339514224
0.5,0.004378161858767271,0.461,-0.0005398006339514224
0.385,0.0033585322089493275,0.461,-0.0005398006339514224
0.38,7.056631147861481e-06,0.461,-0.0005398006339514224
1.047,-0.05493856593966484,0.461,-0.0005398006339514224
0.5,-0.005392453167587519,0.461,-0.0005398006339514224
0.435,-0.013869424350559711,0.461,-0.0005398006339514224
