laser power (watt),shap,lowess laser power (watt),lowess shap
140.0,-0.10062318295240402,120.0,-0.11115772485418562
155.0,-0.08991807699203491,120.0,-0.11115772485418562
200.0,0.02240915410220623,120.0,-0.11115772485418562
160.0,-0.07152257114648819,120.0,-0.11115772485418562
340.0,0.05051053315401077,120.0,-0.11115772485418562
300.0,0.06461821496486664,120.0,-0.11115772485418562
120.0,-0.1447712630033493,120.0,-0.11115772485418562
110.0,-0.14816510677337646,120.0,-0.11115772485418562
340.0,0.04570788890123367,120.0,-0.11115772485418562
200.0,-0.015178829431533813,125.0,-0.10477163329859848
150.0,-0.09521129727363586,125.0,-0.10477163329859848
200.0,0.025090988725423813,125.0,-0.10477163329859848
200.0,0.02032354660332203,125.0,-0.10477163329859848
87.0,-0.13716401159763336,125.0,-0.10477163329859848
200.0,-0.02208450250327587,125.0,-0.10477163329859848
150.0,-0.07623884081840515,125.0,-0.10477163329859848
280.0,0.08557701110839844,125.0,-0.10477163329859848
340.0,0.04611775279045105,125.0,-0.10477163329859848
350.0,0.05347083881497383,125.0,-0.10477163329859848
250.0,-0.003415066748857498,125.0,-0.10477163329859848
285.0,0.05575943738222122,125.0,-0.10477163329859848
300.0,0.05737973749637604,125.0,-0.10477163329859848
170.0,-0.014018349349498749,125.0,-0.10477163329859848
200.0,-0.008762460201978683,125.0,-0.10477163329859848
175.0,-0.025730501860380173,125.0,-0.10477163329859848
350.0,0.07220938801765442,125.0,-0.10477163329859848
350.0,0.060861021280288696,125.0,-0.10477163329859848
200.0,0.014245234429836273,125.0,-0.10477163329859848
200.0,0.0015789377503097057,125.0,-0.10477163329859848
110.0,-0.16769951581954956,125.0,-0.10477163329859848
105.0,-0.09347762167453766,125.0,-0.10477163329859848
200.0,0.019336063414812088,125.0,-0.10477163329859848
370.0,0.047929152846336365,128.0,-0.10094889262157503
200.0,0.040391337126493454,128.0,-0.10094889262157503
250.0,0.019994545727968216,130.0,-0.09840332325379907
370.0,0.047195225954055786,130.0,-0.09840332325379907
200.0,-0.012280716560781002,130.0,-0.09840332325379907
280.0,0.05641396343708038,135.0,-0.09204318735417567
195.0,-0.014487055130302906,135.0,-0.09204318735417567
100.0,-0.09604629129171371,135.0,-0.09204318735417567
